ID,DEPTH,TIMESTAMP,I/O TYPE,SEMANTIC ROLLING COS,SEMANTIC TRAINING COS,CONCEPT ROLLING COS,CONCEPT TRAINING COS,LEXICAL ROLLING COS,LEXICAL TRAINING COS
1a8f720b-4975-4f06-aa5c-ec572e91fa0d,0,2025-03-29T02:09:32.847Z,input,1,1,1,1,1,1
1a8f720b-4975-4f06-aa5c-ec572e91fa0d,0,2025-03-29T02:09:32.847Z,output,1,1,1,1,1,1
07de9e0f-ff1a-49c3-b9ed-3142314a6f04,0,2025-03-29T02:26:28.526Z,input,1,1,1,1,1,1
07de9e0f-ff1a-49c3-b9ed-3142314a6f04,0,2025-03-29T02:26:28.526Z,output,1,1,1,1,1,1
bb37ee49-ce25-4f38-be41-0a1e2622a8ba,0,2025-03-29T02:26:50.900Z,input,1,1,1,1,1,1
bb37ee49-ce25-4f38-be41-0a1e2622a8ba,0,2025-03-29T02:26:50.900Z,output,1,1,1,1,1,1
547189fb-1c7c-463e-9d6c-f6c6f756645d,0,2025-03-31T16:18:38.983Z,input,NaN,NaN,NaN,NaN,NaN,NaN
547189fb-1c7c-463e-9d6c-f6c6f756645d,0,2025-03-31T16:18:38.983Z,output,NaN,NaN,0.0035775573243962263,0.0035775573243962263,NaN,NaN
7aa9b707-77aa-4737-8fd4-0e9b069915c9,0,2025-03-31T16:22:24.893Z,input,NaN,NaN,NaN,NaN,NaN,NaN
7aa9b707-77aa-4737-8fd4-0e9b069915c9,0,2025-03-31T16:22:24.893Z,output,NaN,NaN,0.003626657044741252,0.003626657044741252,NaN,NaN
e296f7d2-00b0-4ad5-b419-b360cecfd262,0,2025-03-31T16:24:11.020Z,input,NaN,NaN,NaN,NaN,NaN,NaN
e296f7d2-00b0-4ad5-b419-b360cecfd262,0,2025-03-31T16:24:11.020Z,output,NaN,NaN,0.0036430199155836813,NaN,NaN,NaN
6944ebd7-ab33-43c1-ae43-9e08d78a4e01,0,2025-03-31T16:24:41.837Z,input,NaN,NaN,NaN,NaN,NaN,NaN
6944ebd7-ab33-43c1-ae43-9e08d78a4e01,0,2025-03-31T16:24:41.837Z,output,NaN,NaN,0.0036512006450685956,NaN,NaN,NaN
cf184892-9373-4a37-8f36-645044e159f4,0,2025-03-31T16:38:17.372Z,input,1,NaN,1,NaN,1,NaN
